Year	BMAT_Section_1	BMAT_Section_2	Offer	BMAT_all	Score	College_ID
2017	4	4.7	TRUE	8.7	-0.6395932702866632	21
2017	4.7	5.7	FALSE	10.4	0.26243623987066417	14
2017	6.1	4.7	FALSE	10.8	0.4746784775547413	5
2017	6.6	5.3	FALSE	11.899999999999999	1.0583446311859517	11
2017	4.9	6.7	FALSE	11.600000000000001	0.8991629529228955	17
2017	5.6	4.5	FALSE	10.1	0.10325456160760613	1
2017	6.9	5.1	TRUE	12	1.1114051906069715	9
2017	5.9	6	TRUE	11.9	1.0583446311859526	21
2017	5.9	5.7	TRUE	11.600000000000001	0.8991629529228955	9
2017	6.6	6.2	TRUE	12.8	1.5358896659751258	9
2017	5.4	6	TRUE	11.4	0.7930418340808565	19
2017	6.3	4.3	FALSE	10.6	0.3685573587127023	5
2017	4.3	3.9	FALSE	8.2	-0.9048960673917593	18
2017	5.4	5.1	TRUE	10.5	0.3154967992916832	19
2017	4.7	4.1	FALSE	8.8	-0.5865327108656433	9
2017	5.6	6.5	TRUE	12.1	1.1644657500279907	23
2017	6.3	6	FALSE	12.3	1.2705868688700297	9
2017	5.4	6.2	TRUE	11.600000000000001	0.8991629529228955	9
2017	4.9	5.3	FALSE	10.2	0.15631512102862516	6
2017	5.4	5.1	FALSE	10.5	0.3154967992916832	9
2017	4.9	4.9	FALSE	9.8	-0.05592711665545099	9
2017	4.3	4.5	FALSE	8.8	-0.5865327108656433	23
2017	3.8	5.5	FALSE	9.3	-0.3212299137605471	7
2017	4.9	5.3	FALSE	10.2	0.15631512102862516	6
2017	7.1	6.5	TRUE	13.6	1.9603741413432791	3
2017	5.4	5.1	FALSE	10.5	0.3154967992916832	11
2017	3.8	3.9	FALSE	7.699999999999999	-1.1701988644968555	25
2017	5.4	3.7	FALSE	9.100000000000001	-0.4273510326025852	8
2017	5.2	4.9	FALSE	10.100000000000001	0.10325456160760707	19
2017	7.8	6.7	TRUE	14.5	2.437919176132452	6
2017	6.1	6.7	TRUE	12.8	1.5358896659751258	6
2017	5.9	5.5	FALSE	11.4	0.7930418340808565	5
2017	5.2	3.7	FALSE	8.9	-0.5334721514446242	14
2017	5.2	6.2	TRUE	11.4	0.7930418340808565	23
2017	5.9	6	FALSE	11.9	1.0583446311859526	21
2017	6.6	6	TRUE	12.6	1.4297685471330868	7
2017	6.1	6	TRUE	12.1	1.1644657500279907	19
2017	3.8	5.1	FALSE	8.899999999999999	-0.5334721514446251	9
2017	3.3	4.1	FALSE	7.3999999999999995	-1.329380542759913	4
2017	5.2	4.9	FALSE	10.100000000000001	0.10325456160760707	2
2017	6.1	4.3	FALSE	10.399999999999999	0.2624362398706632	5
2017	6.9	6.2	TRUE	13.100000000000001	1.695071344238184	2
2017	4.7	4.9	FALSE	9.600000000000001	-0.16204823549748906	9
2017	9	6.7	FALSE	15.7	3.0746458891846826	9
2017	6.9	4.5	FALSE	11.4	0.7930418340808565	9
2017	5.6	5.3	FALSE	10.899999999999999	0.5277390369757594	6
2017	5.2	6.2	TRUE	11.4	0.7930418340808565	17
2017	3.8	4.3	FALSE	8.1	-0.9579566268127784	17
2017	3.8	5.5	FALSE	9.3	-0.3212299137605471	10
2017	4	3.7	TRUE	7.7	-1.170198864496855	21
2017	4.7	5.5	FALSE	10.2	0.15631512102862516	4
2017	7.1	5.3	FALSE	12.399999999999999	1.3236474282910478	22
2017	5.9	5.5	FALSE	11.4	0.7930418340808565	18
2017	5.9	4.7	FALSE	10.600000000000001	0.36855735871270323	9
2017	6.6	6.5	FALSE	13.1	1.6950713442381828	9
2017	5.9	5.3	TRUE	11.2	0.6869207152388175	3
2017	5.4	5.5	FALSE	10.9	0.5277390369757603	1
2017	5.4	4.7	FALSE	10.100000000000001	0.10325456160760707	19
2017	5.6	5.3	FALSE	10.899999999999999	0.5277390369757594	20
2017	5.6	4.7	FALSE	10.3	0.20937568044964514	17
2017	6.1	5.5	TRUE	11.6	0.8991629529228945	1
