Year	Candidate	College	BMAT_Section_1	BMAT_Section_2	Offer	BMAT_all	Candidate_ID
2017	100590	Downing	5.6	4.7	FALSE	10.3	589
2017	100591	Downing	6.9	6.5	TRUE	13.4	590
2017	100592	Downing	4.5	7.5	TRUE	12	591
2017	100593	Downing	3.3	5.3	FALSE	8.6	592
2017	100594	Downing	4.5	4.3	FALSE	8.8	593
2017	100595	Downing	6.1	8	TRUE	14.1	594
2017	100596	Downing	5.9	6	FALSE	11.9	595
2017	100597	Downing	5.6	3.7	FALSE	9.3	596
2017	100598	Downing	6.3	5.7	TRUE	12	597
2017	100599	Sidney Sussex	5.4	5.5	FALSE	10.9	598
2017	100600	Sidney Sussex	5.6	5.3	FALSE	10.899999999999999	599
2017	100601	Sidney Sussex	4.9	4.9	FALSE	9.8	600
2017	100602	Sidney Sussex	3.8	5.3	FALSE	9.1	601
2017	100603	Trinity Hall	6.1	7.5	TRUE	13.6	602
2017	100604	Homerton	4.3	5.3	FALSE	9.6	603
2017	100605	Sidney Sussex	5.4	4.1	FALSE	9.5	604
2017	100606	Murray Edwards	5.4	4.3	FALSE	9.7	605
2017	100608	Sidney Sussex	5.2	5.3	FALSE	10.5	606
2017	100609	Peterhouse	4.7	4.7	TRUE	9.4	607
2017	100610	Churchill	3.8	3.7	FALSE	7.5	608
2017	100611	Sidney Sussex	4.7	3.9	FALSE	8.6	609
2017	100612	Christ's	4	4.5	FALSE	8.5	610
2017	100613	Christ's	3.8	4.5	FALSE	8.3	611
2017	100614	Churchill	7.8	6.2	TRUE	14	612
2017	100615	Churchill	6.6	5.1	TRUE	11.7	613
2017	100616	Churchill	4.3	5.3	FALSE	9.6	614
2017	100617	Churchill	4.5	4.9	FALSE	9.4	615
2017	100618	Emmanuel	7.4	5.5	TRUE	12.9	616
2017	100619	Emmanuel	6.6	4.9	TRUE	11.5	617
2017	100620	Emmanuel	4.7	4.9	FALSE	9.600000000000001	618
2017	100621	Emmanuel	7.8	6	TRUE	13.8	619
2017	100622	Emmanuel	5.4	5.5	FALSE	10.9	620
2017	100623	Emmanuel	1.1	3.4	FALSE	4.5	621
2017	100624	Fitzwilliam	4.3	4.7	FALSE	9	622
2017	100625	Girton	5.2	6	FALSE	11.2	623
2017	100626	Girton	4.5	5.3	TRUE	9.8	624
2017	100627	Homerton	6.3	6	TRUE	12.3	625
2017	100628	Lucy Cavendish	4.7	4.5	FALSE	9.2	626
2017	100629	St John's	6.3	6.5	TRUE	12.8	627
2017	100630	Fitzwilliam	4.9	5.5	FALSE	10.4	628
2017	100631	King's	3.8	4.9	FALSE	8.7	629
2017	100632	King's	4.5	4.7	FALSE	9.2	630
2017	100633	Churchill	4.3	5.5	TRUE	9.8	631
2017	100634	Pembroke	6.3	5.7	FALSE	12	632
2017	100635	Fitzwilliam	8.1	5.1	TRUE	13.2	633
2017	100636	Queens'	2	3.7	FALSE	5.7	634
2017	100637	Robinson	4.3	4.5	FALSE	8.8	635
2017	100638	Robinson	4.5	4.3	FALSE	8.8	636
2017	100639	Robinson	6.6	5.5	FALSE	12.1	637
2017	100640	St Catharine's	5.9	5.7	FALSE	11.600000000000001	638
2017	100641	St Catharine's	4.9	4.7	FALSE	9.600000000000001	639
2017	100642	St Catharine's	6.1	4.9	TRUE	11	640
2017	100643	St Catharine's	3.3	3.7	FALSE	7	641
2017	100644	St Catharine's	7.8	6	FALSE	13.8	642
2017	100645	Trinity	5.6	6.2	TRUE	11.8	643
2017	100646	Trinity	3.5	4.1	FALSE	7.6	644
2017	100647	Trinity	6.3	7.5	TRUE	13.8	645
2017	100648	Pembroke	5.6	3.4	FALSE	9	646
2017	100649	Pembroke	4	4.9	FALSE	8.9	647
2017	100650	Pembroke	5.9	5.3	FALSE	11.2	648
2017	100651	Pembroke	4.7	5.1	FALSE	9.8	649
2017	100652	Pembroke	4.7	2.9	FALSE	7.6	650
2017	100653	Pembroke	3	4.3	FALSE	7.3	651
2017	100654	Pembroke	4	5.1	FALSE	9.1	652
2017	100655	Pembroke	4.9	4.3	FALSE	9.2	653
2017	100656	Queens'	4.7	5.5	TRUE	10.2	654
2017	100657	Queens'	4.9	5.3	FALSE	10.2	655
2017	100658	Queens'	6.9	5.1	FALSE	12	656
2017	100659	Queens'	5.4	4.1	FALSE	9.5	657
2017	100660	Queens'	4.9	4.7	FALSE	9.600000000000001	658
2017	100661	Sidney Sussex	5.4	4.7	FALSE	10.100000000000001	659
2017	100662	Homerton	3.5	3.7	FALSE	7.2	660
2017	100663	Newnham	4	4.1	FALSE	8.1	661
2017	100664	Churchill	4.9	3.7	FALSE	8.600000000000001	662
2017	100665	Homerton	1.6	3.9	FALSE	5.5	663
2017	100666	Sidney Sussex	4.9	4.5	FALSE	9.4	664
2017	100667	Murray Edwards	5.2	5.3	FALSE	10.5	665
2017	100668	Sidney Sussex	5.6	6	TRUE	11.6	666
2017	100669	St Edmund's	4.5	5.5	FALSE	10	667
2017	100670	Murray Edwards	4.3	4.7	FALSE	9	668
2017	100671	Trinity Hall	4.5	4.7	FALSE	9.2	669
2017	100672	Newnham	2.4	4.3	FALSE	6.699999999999999	670
2017	100673	Emmanuel	4.3	3.7	FALSE	8	671
2017	100674	Magdalene	2.7	3.9	FALSE	6.6	672
2017	100675	Peterhouse	3	6	FALSE	9	673
2017	100676	Selwyn	4.3	4.7	FALSE	9	674
2017	100677	Selwyn	4.5	6	FALSE	10.5	675
2017	100678	St John's	3	3.9	FALSE	6.9	676
2017	100679	St John's	7.4	7.5	TRUE	14.9	677
2017	100680	Lucy Cavendish	2.4	4.1	FALSE	6.5	678
2017	100681	Magdalene	5.6	5.3	FALSE	10.899999999999999	679
2017	100682	Magdalene	6.3	4.5	TRUE	10.8	680
2017	100683	Murray Edwards	5.6	4.7	FALSE	10.3	681
2017	100684	Murray Edwards	4.7	4.1	FALSE	8.8	682
2017	100685	Downing	3	3.7	FALSE	6.7	683
2017	100686	Downing	4.9	4.9	FALSE	9.8	684
2017	100687	Downing	5.4	5.5	FALSE	10.9	685
2017	100688	Downing	3.5	5.1	FALSE	8.6	686
2017	100689	Gonville and Caius	4.5	4.5	FALSE	9	687
2017	100690	Gonville and Caius	2.7	4.1	FALSE	6.8	688
2017	100691	Gonville and Caius	5.2	4.9	FALSE	10.100000000000001	689
2017	100692	Gonville and Caius	7.1	5.7	FALSE	12.8	690
2017	100693	Gonville and Caius	6.6	5.5	FALSE	12.1	691
2017	100694	Gonville and Caius	4.7	4.9	FALSE	9.600000000000001	692
2017	100695	Gonville and Caius	4.7	3.4	FALSE	8.1	693
2017	100696	Gonville and Caius	5.2	5.5	FALSE	10.7	694
2017	100697	Gonville and Caius	7.1	5.7	FALSE	12.8	695
2017	100698	Gonville and Caius	4.3	4.1	FALSE	8.399999999999999	696
2017	100699	Christ's	3.8	3.4	FALSE	7.199999999999999	697
2017	100700	Christ's	6.3	6.2	TRUE	12.5	698
2017	100701	Christ's	4.9	5.5	FALSE	10.4	699
2017	100702	Christ's	4	4.7	FALSE	8.7	700
2017	100703	Christ's	3.3	4.7	FALSE	8	701
2017	100704	Christ's	4.9	7.1	TRUE	12	702
2017	100705	Christ's	4.9	5.1	FALSE	10	703
2017	100706	Churchill	3.3	4.3	FALSE	7.6	704
2017	100707	Churchill	4.7	4.7	TRUE	9.4	705
2017	100708	Trinity	5.4	4.3	FALSE	9.7	706
2017	100709	Trinity	8.5	7.1	TRUE	15.6	707
2017	100710	Trinity Hall	5.4	4.7	FALSE	10.100000000000001	708
2017	100711	Peterhouse	4.3	4.7	FALSE	9	709
2017	100712	Peterhouse	5.6	6.2	TRUE	11.8	710
2017	100713	Peterhouse	1.6	4.3	FALSE	5.9	711
2017	100714	Selwyn	5.6	5.3	FALSE	10.899999999999999	712
